p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),OT
985.59,4.77,279.09,1.73,80.6,8.59,6.92,1.67,4.38,444.4
985.59,4.61,278.92,1.71,81.4,8.49,6.91,1.58,4.37,446.7
985.55,4.47,278.79,1.71,82.2,8.41,6.91,1.5,4.37,446.7
985.51,4.5,278.82,1.74,82.2,8.43,6.93,1.5,4.38,445.0
985.56,4.2,278.51,1.46,82.3,8.25,6.79,1.46,4.3,446.3
985.57,3.88,278.2,1.36,83.5,8.07,6.74,1.33,4.26,438.2
985.57,3.8,278.11,1.27,83.5,8.02,6.7,1.32,4.24,439.1
985.65,3.65,277.96,1.23,84.1,7.94,6.68,1.26,4.22,439.2
985.66,3.49,277.79,1.07,84.1,7.85,6.6,1.25,4.18,444.0
985.62,3.16,277.47,0.96,85.4,7.67,6.55,1.12,4.14,447.9
985.59,2.91,277.22,0.91,86.6,7.53,6.52,1.01,4.13,452.6
985.62,2.85,277.15,0.97,87.4,7.5,6.55,0.94,4.15,452.5
985.65,2.96,277.26,1.06,87.3,7.56,6.6,0.96,4.17,448.3
985.69,2.64,276.94,0.75,87.3,7.39,6.45,0.94,4.08,443.7
985.67,2.51,276.81,0.7,87.8,7.32,6.43,0.89,4.07,441.5
985.65,2.43,276.73,0.53,87.2,7.28,6.35,0.93,4.02,439.4
985.66,2.21,276.51,0.33,87.3,7.16,6.25,0.91,3.96,441.6
985.6,2.12,276.42,0.38,88.2,7.12,6.28,0.84,3.97,446.4
985.57,2.04,276.35,0.33,88.4,7.08,6.26,0.82,3.96,453.0
985.56,1.8,276.1,0.19,89.0,6.96,6.19,0.77,3.92,453.1
985.5,1.62,275.93,0.07,89.4,6.87,6.14,0.73,3.88,455.0
985.52,1.77,276.08,0.22,89.4,6.94,6.21,0.74,3.93,456.7
985.56,1.75,276.05,0.0,88.1,6.93,6.11,0.82,3.86,454.9
985.57,1.61,275.91,-0.19,87.8,6.86,6.03,0.84,3.81,454.4
985.65,1.9,276.2,0.1,87.8,7.01,6.15,0.85,3.89,446.9
985.7,2.15,276.44,0.06,86.0,7.13,6.13,1.0,3.88,455.8
985.76,2.68,276.97,0.28,84.1,7.41,6.23,1.18,3.94,452.1
985.82,3.09,277.38,0.32,81.9,7.63,6.25,1.38,3.95,452.3
985.9,3.55,277.83,0.47,80.2,7.88,6.32,1.56,4.0,456.4
985.94,3.89,278.17,0.42,78.0,8.07,6.3,1.78,3.98,459.1
985.92,4.02,278.31,0.44,77.4,8.15,6.31,1.84,3.99,460.5
985.92,4.25,278.53,0.52,76.6,8.28,6.34,1.94,4.01,460.1
985.93,4.43,278.71,0.64,76.3,8.38,6.4,1.99,4.05,457.4
985.95,4.75,279.04,0.7,74.9,8.58,6.43,2.15,4.06,456.3
985.99,5.07,279.35,0.78,73.7,8.77,6.46,2.31,4.09,453.4
986.04,5.06,279.34,0.83,74.0,8.77,6.49,2.28,4.1,452.9
986.05,4.92,279.2,0.9,75.1,8.68,6.52,2.16,4.12,451.3
986.05,5.37,279.65,1.09,73.8,8.96,6.61,2.35,4.18,450.1
986.03,5.9,280.18,1.28,72.1,9.29,6.7,2.59,4.24,450.0
986.04,6.59,280.88,1.53,69.98,9.75,6.82,2.93,4.32,447.2
986.02,7.49,281.78,1.84,67.28,10.37,6.98,3.39,4.41,448.0
986.04,8.07,282.36,2.11,65.95,10.79,7.12,3.67,4.5,448.3
986.04,8.77,283.07,2.39,64.15,11.32,7.26,4.06,4.59,444.0
986.01,9.5,283.8,2.66,62.23,11.89,7.4,4.49,4.68,439.3
985.98,10.05,284.36,2.96,61.27,12.34,7.56,4.78,4.78,435.1
985.97,10.73,285.04,3.13,59.26,12.91,7.65,5.26,4.84,431.1
985.98,11.3,285.61,3.29,57.73,13.41,7.74,5.67,4.9,428.4
986.01,11.73,286.04,3.42,56.61,13.8,7.81,5.99,4.94,425.0
986.01,13.0,287.32,3.5,52.36,15.0,7.85,7.15,4.97,420.0
985.95,13.02,287.34,3.06,50.71,15.02,7.62,7.4,4.82,417.0
985.95,12.94,287.26,2.61,49.34,14.94,7.37,7.57,4.66,414.4
985.92,13.1,287.42,2.14,47.21,15.1,7.13,7.97,4.51,414.3
985.9,13.55,287.88,1.66,44.29,15.55,6.89,8.66,4.36,413.6
985.88,13.55,287.88,1.19,42.84,15.55,6.66,8.89,4.21,413.1
985.8,13.87,288.21,1.04,41.51,15.87,6.59,9.28,4.17,413.0
985.72,13.65,287.99,0.74,41.18,15.65,6.44,9.2,4.08,412.4
985.68,13.92,288.27,0.94,41.05,15.93,6.54,9.39,4.14,412.5
985.64,14.25,288.6,0.63,39.3,16.27,6.39,9.88,4.05,411.7
985.56,14.21,288.57,0.26,38.36,16.23,6.23,10.0,3.94,411.5
985.45,14.61,288.98,0.75,38.74,16.65,6.45,10.2,4.08,412.4
985.38,14.56,288.93,0.41,37.9,16.6,6.29,10.31,3.98,412.5
985.33,14.87,289.25,0.72,38.01,16.94,6.44,10.5,4.07,412.3
985.24,14.79,289.18,0.66,38.02,16.85,6.41,10.44,4.05,412.4
985.19,14.6,288.99,0.31,37.54,16.64,6.25,10.4,3.95,412.5
985.12,14.86,289.26,0.34,37.0,16.92,6.26,10.66,3.96,412.2
985.03,14.81,289.21,0.4,37.28,16.87,6.29,10.58,3.98,411.9
984.94,15.03,289.44,0.39,36.72,17.11,6.28,10.83,3.98,412.1
984.84,15.04,289.46,0.34,36.56,17.12,6.26,10.86,3.96,411.8
984.75,15.32,289.75,0.24,35.65,17.43,6.22,11.22,3.94,411.8
984.63,16.02,290.46,-0.18,33.07,18.23,6.03,12.2,3.82,411.4
984.55,15.98,290.43,0.04,33.67,18.19,6.12,12.06,3.88,412.2
984.46,16.42,290.88,0.28,33.33,18.7,6.23,12.47,3.95,412.0
984.38,16.34,290.81,0.09,33.03,18.61,6.15,12.46,3.89,411.6
984.33,16.33,290.8,-0.03,32.78,18.6,6.1,12.5,3.86,411.4
984.3,16.07,290.54,-0.1,33.15,18.29,6.06,12.23,3.84,411.4
984.16,16.3,290.78,0.06,33.06,18.56,6.14,12.43,3.89,411.0
984.1,16.18,290.67,-0.22,32.63,18.42,6.01,12.41,3.81,411.0
983.99,16.22,290.72,0.0,33.08,18.47,6.11,12.36,3.87,410.8
983.94,16.38,290.88,0.14,33.08,18.66,6.17,12.49,3.91,410.6
983.84,16.88,291.39,0.2,32.17,19.26,6.2,13.06,3.93,410.9
983.81,16.71,291.23,0.15,32.4,19.05,6.17,12.88,3.91,410.8
983.75,16.7,291.22,-0.03,32.01,19.04,6.09,12.95,3.86,410.8
983.64,16.94,291.47,0.12,31.88,19.33,6.16,13.17,3.91,410.9
983.58,17.27,291.81,0.26,31.54,19.74,6.23,13.52,3.95,411.2
983.5,17.99,292.54,0.46,30.57,20.66,6.32,14.34,4.0,410.5
983.44,17.97,292.52,0.33,30.32,20.63,6.26,14.38,3.97,410.4
983.46,17.89,292.44,0.73,31.38,20.53,6.44,14.09,4.08,409.8
983.36,17.63,292.19,1.0,32.52,20.2,6.57,13.63,4.16,409.3
983.31,17.61,292.17,0.81,32.12,20.17,6.48,13.69,4.11,409.4
983.18,17.99,292.57,0.96,31.71,20.66,6.55,14.11,4.15,409.6
983.12,17.6,292.18,0.7,31.89,20.16,6.43,13.73,4.08,410.3
983.1,17.13,291.71,0.49,32.34,19.57,6.33,13.24,4.01,410.2
983.08,17.14,291.72,0.5,32.34,19.58,6.33,13.25,4.02,410.2
983.07,17.18,291.76,0.61,32.52,19.63,6.38,13.25,4.05,409.4
983.06,17.25,291.83,0.71,32.61,19.72,6.43,13.29,4.08,409.2
983.04,17.28,291.86,0.88,32.97,19.75,6.51,13.24,4.13,409.3
983.05,17.29,291.87,0.89,32.96,19.77,6.52,13.25,4.13,409.6
983.09,17.32,291.9,0.97,33.09,19.8,6.55,13.25,4.16,409.9
983.1,17.3,291.88,1.09,33.42,19.78,6.61,13.17,4.19,409.0
983.04,17.18,291.76,1.0,33.47,19.63,6.57,13.06,4.17,409.6
983.03,17.11,291.69,1.0,33.61,19.54,6.57,12.97,4.17,409.3
982.98,16.77,291.36,1.03,34.42,19.13,6.58,12.54,4.18,408.7
982.97,16.24,290.83,1.13,35.86,18.49,6.63,11.86,4.21,408.6
982.97,15.93,290.51,1.52,37.61,18.13,6.82,11.31,4.33,409.7
983.04,15.58,290.16,1.33,37.94,17.73,6.73,11.0,4.27,409.5
983.0,15.38,289.96,1.43,38.7,17.5,6.77,10.73,4.3,409.1
983.06,15.21,289.78,1.62,39.69,17.31,6.87,10.44,4.36,409.0
983.11,15.09,289.66,1.83,40.59,17.18,6.97,10.21,4.42,409.2
983.22,14.88,289.44,1.84,41.18,16.95,6.98,9.97,4.43,409.0
983.26,14.8,289.35,1.77,41.19,16.86,6.94,9.92,4.4,408.4
983.31,14.74,289.29,1.81,41.46,16.79,6.96,9.83,4.42,409.5
983.39,14.58,289.12,1.81,41.9,16.62,6.96,9.66,4.42,410.4
983.48,13.73,288.26,1.86,44.43,15.73,6.99,8.74,4.43,412.3
983.57,13.67,288.19,1.85,44.55,15.67,6.98,8.69,4.43,412.1
983.59,13.56,288.08,1.85,44.88,15.56,6.98,8.57,4.43,412.7
983.63,12.89,287.4,2.05,47.57,14.89,7.08,7.81,4.49,418.2
983.66,12.84,287.35,2.09,47.85,14.84,7.1,7.74,4.5,417.5
983.71,12.39,286.89,2.25,49.87,14.41,7.19,7.22,4.56,426.5
983.77,11.85,286.35,2.16,51.35,13.91,7.14,6.76,4.53,424.5
983.83,11.59,286.08,2.25,52.59,13.67,7.19,6.48,4.56,424.8
983.84,11.44,285.93,2.2,52.9,13.53,7.16,6.37,4.54,424.6
983.84,10.93,285.42,2.05,54.14,13.08,7.08,6.0,4.49,425.0
983.92,10.5,284.98,2.06,55.78,12.71,7.09,5.62,4.49,426.7
983.94,10.47,284.95,1.65,54.26,12.69,6.88,5.8,4.36,420.1
983.98,10.48,284.95,1.58,53.93,12.7,6.85,5.85,4.34,420.9
984.02,10.41,284.88,1.56,54.13,12.64,6.84,5.8,4.33,420.5
984.06,10.29,284.76,1.55,54.51,12.54,6.83,5.7,4.33,421.0
984.12,10.04,284.5,1.71,56.09,12.33,6.91,5.41,4.38,425.1
984.15,9.54,283.99,1.53,57.26,11.92,6.83,5.09,4.32,423.1
984.15,8.85,283.3,1.52,59.94,11.38,6.82,4.56,4.32,427.9
984.17,8.56,283.01,1.52,61.14,11.16,6.82,4.33,4.32,428.3
984.19,8.35,282.8,1.47,61.79,11.0,6.8,4.2,4.31,427.4
984.16,7.82,282.27,1.42,63.84,10.61,6.77,3.84,4.29,428.7
984.17,7.73,282.17,1.31,63.71,10.54,6.72,3.83,4.26,427.4
984.1,7.41,281.86,1.12,64.25,10.31,6.63,3.69,4.2,427.0
984.07,7.36,281.81,1.11,64.39,10.28,6.62,3.66,4.19,426.0
984.05,7.19,281.64,1.12,65.19,10.16,6.62,3.54,4.2,429.8
984.03,7.03,281.48,1.18,66.23,10.05,6.65,3.39,4.22,433.1
983.96,6.83,281.28,1.3,67.74,9.91,6.71,3.2,4.25,437.6
983.94,6.74,281.2,1.34,68.37,9.85,6.73,3.11,4.27,441.1
983.91,6.77,281.23,1.45,68.75,9.87,6.79,3.08,4.3,443.0
983.92,6.46,280.92,1.28,69.38,9.66,6.7,2.96,4.25,442.7
983.97,5.93,280.38,0.97,70.4,9.31,6.55,2.76,4.15,439.2
983.97,5.65,280.1,1.11,72.5,9.13,6.62,2.51,4.2,448.8
983.97,5.53,279.98,1.19,73.5,9.06,6.66,2.4,4.22,450.0
983.97,5.33,279.78,1.11,74.1,8.93,6.62,2.31,4.2,452.4
983.97,5.2,279.65,1.11,74.8,8.85,6.62,2.23,4.2,451.7
983.99,5.28,279.73,1.13,74.5,8.9,6.63,2.27,4.2,452.3
984.02,5.17,279.61,0.89,73.8,8.83,6.52,2.31,4.13,443.6
984.05,4.87,279.31,0.7,74.3,8.65,6.43,2.22,4.07,441.0
984.03,4.89,279.33,0.89,75.2,8.66,6.51,2.15,4.13,445.8
984.03,4.89,279.33,0.86,75.1,8.66,6.5,2.16,4.12,448.5
983.98,4.66,279.11,0.81,76.0,8.53,6.48,2.05,4.11,451.4
983.91,4.57,279.02,0.85,76.7,8.47,6.5,1.97,4.12,453.2
983.85,4.47,278.93,0.77,76.8,8.41,6.46,1.95,4.1,452.7
983.84,4.23,278.69,0.59,77.1,8.27,6.38,1.89,4.04,444.7
983.81,4.16,278.62,0.41,76.5,8.23,6.29,1.93,3.99,441.1
983.76,3.99,278.45,0.55,78.2,8.13,6.36,1.77,4.03,454.1
983.73,3.65,278.11,0.47,79.6,7.94,6.32,1.62,4.01,459.9
983.74,3.35,277.81,0.41,81.0,7.77,6.29,1.48,3.99,459.5
983.73,3.18,277.64,0.37,81.7,7.68,6.27,1.4,3.98,463.0
983.73,3.17,277.63,0.42,82.1,7.67,6.3,1.37,3.99,463.4
983.72,3.07,277.53,0.31,82.0,7.62,6.25,1.37,3.96,463.6
983.73,2.91,277.36,0.28,82.8,7.53,6.24,1.3,3.95,461.1
983.74,2.93,277.39,0.33,82.9,7.54,6.25,1.29,3.96,459.0
983.73,2.96,277.42,0.32,82.7,7.56,6.25,1.31,3.96,461.3
983.75,2.92,277.38,0.35,83.1,7.54,6.26,1.27,3.97,457.6
983.75,3.04,277.5,0.36,82.5,7.6,6.27,1.33,3.97,454.4
983.8,3.33,277.78,0.38,80.9,7.76,6.28,1.48,3.98,456.5
983.76,3.43,277.89,0.34,80.1,7.82,6.26,1.56,3.97,459.3
983.78,3.74,278.2,0.47,79.1,7.99,6.32,1.67,4.01,458.4
983.83,4.04,278.49,0.48,77.5,8.16,6.32,1.84,4.01,461.4
983.83,4.2,278.66,0.58,77.2,8.25,6.37,1.88,4.04,464.8
983.84,4.64,279.1,0.66,75.3,8.51,6.41,2.1,4.06,467.4
983.86,4.85,279.3,0.71,74.5,8.63,6.43,2.2,4.08,469.1
983.87,5.14,279.59,0.88,73.9,8.81,6.51,2.3,4.13,467.8
983.86,5.94,280.4,1.1,71.0,9.32,6.62,2.7,4.19,465.1
983.87,6.5,280.96,1.22,68.9,9.69,6.67,3.01,4.23,465.6
983.85,6.71,281.18,1.32,68.4,9.83,6.72,3.11,4.26,462.0
983.85,6.85,281.31,1.41,68.19,9.92,6.77,3.16,4.29,458.1
983.85,7.16,281.63,1.59,67.59,10.14,6.85,3.29,4.34,455.9
983.81,7.68,282.15,1.87,66.56,10.51,6.99,3.51,4.43,454.2
983.73,8.18,282.66,2.08,65.29,10.87,7.1,3.77,4.5,451.5
983.7,8.85,283.34,2.35,63.6,11.38,7.24,4.14,4.59,447.5
983.6,9.46,283.96,2.57,62.01,11.86,7.35,4.5,4.66,445.3
983.57,10.28,284.79,2.75,59.46,12.53,7.45,5.08,4.72,443.3
983.53,11.09,285.6,3.11,57.8,13.22,7.64,5.58,4.85,441.2
983.49,11.97,286.49,3.28,55.18,14.02,7.73,6.28,4.91,438.4
983.4,12.9,287.43,3.57,52.99,14.9,7.9,7.0,5.01,435.1
983.36,13.42,287.96,3.61,51.35,15.42,7.92,7.5,5.02,430.4
983.32,13.89,288.43,3.6,49.77,15.89,7.91,7.98,5.02,426.6
983.23,14.45,289.0,3.66,48.2,16.48,7.94,8.54,5.04,424.4
983.13,15.28,289.85,3.74,45.95,17.39,7.99,9.4,5.07,421.9
983.09,15.86,290.43,3.79,44.43,18.05,8.02,10.03,5.09,419.8
982.97,16.72,291.31,3.79,42.05,19.07,8.02,11.05,5.09,417.7
982.84,17.32,291.92,4.03,41.18,19.8,8.16,11.65,5.18,416.3
982.75,18.27,292.88,3.65,37.76,21.03,7.94,13.09,5.04,412.2
982.64,18.63,293.26,2.61,34.29,21.51,7.37,14.13,4.68,409.5
982.58,18.86,293.49,2.41,33.32,21.82,7.27,14.55,4.61,408.5
982.54,19.07,293.71,1.93,31.78,22.1,7.02,15.08,4.46,408.1
982.48,19.28,293.92,2.18,31.93,22.4,7.15,15.25,4.54,407.8
982.39,19.31,293.96,1.79,30.99,22.44,6.95,15.48,4.41,407.9
982.25,19.31,293.97,1.73,30.85,22.44,6.92,15.52,4.4,408.1
982.22,19.61,294.28,1.92,30.71,22.86,7.02,15.84,4.46,408.1
982.16,19.68,294.35,1.72,30.12,22.96,6.92,16.04,4.39,408.0
982.09,19.46,294.14,1.63,30.34,22.65,6.87,15.78,4.36,407.8
981.89,20.06,294.76,1.8,29.59,23.51,6.96,16.55,4.42,408.1
981.83,19.87,294.57,1.62,29.56,23.23,6.87,16.36,4.36,407.9
981.68,20.29,295.01,1.86,29.3,23.84,6.99,16.86,4.44,407.7
981.58,20.4,295.13,1.86,29.1,24.01,6.99,17.02,4.44,407.6
981.52,20.37,295.1,1.45,28.31,23.96,6.78,17.18,4.31,407.3
981.4,20.64,295.38,1.05,27.06,24.36,6.59,17.77,4.19,407.9
981.25,20.71,295.47,0.92,26.68,24.47,6.53,17.94,4.15,408.1
981.24,20.77,295.53,1.17,27.08,24.56,6.65,17.91,4.23,407.6
981.17,20.59,295.35,0.72,26.49,24.29,6.43,17.86,4.09,407.8
981.13,20.64,295.41,1.03,27.01,24.36,6.58,17.78,4.18,407.4
981.04,20.96,295.73,0.94,26.32,24.85,6.54,18.31,4.16,407.8
980.87,21.06,295.85,0.95,26.18,25.0,6.55,18.46,4.16,407.9
980.8,21.32,296.12,1.45,26.71,25.4,6.79,18.62,4.31,407.5
980.77,21.37,296.17,1.36,26.45,25.48,6.74,18.74,4.29,407.7
980.67,21.03,295.84,1.62,27.52,24.96,6.87,18.09,4.37,407.8
980.65,20.95,295.76,1.84,28.1,24.83,6.98,17.86,4.44,407.9
980.52,21.24,296.06,2.07,28.06,25.28,7.09,18.19,4.51,408.1
980.46,21.35,296.18,2.03,27.79,25.45,7.07,18.38,4.5,408.4
980.4,21.28,296.11,1.81,27.48,25.34,6.96,18.38,4.43,409.0
980.39,21.37,296.2,1.86,27.43,25.48,6.99,18.49,4.45,409.4
980.29,21.6,296.44,1.97,27.26,25.84,7.04,18.8,4.48,409.3
980.22,21.83,296.68,2.02,26.97,26.21,7.07,19.14,4.5,409.2
980.2,21.97,296.82,1.84,26.39,26.43,6.98,19.46,4.44,409.0
980.14,21.68,296.54,1.94,27.07,25.97,7.03,18.94,4.47,408.9
980.14,21.51,296.37,2.08,27.63,25.7,7.1,18.6,4.52,408.9
980.08,21.48,296.34,2.31,28.13,25.65,7.22,18.44,4.59,408.7
980.06,21.03,295.89,2.4,29.1,24.96,7.26,17.69,4.62,408.7
979.94,21.07,295.94,2.38,28.99,25.02,7.25,17.76,4.62,408.9
979.91,20.95,295.82,2.48,29.41,24.83,7.3,17.53,4.65,408.9
979.94,20.67,295.54,2.96,30.97,24.41,7.56,16.85,4.81,408.7
979.95,20.74,295.61,3.03,30.99,24.51,7.6,16.92,4.84,408.7
979.89,20.78,295.65,2.99,30.83,24.58,7.58,17.0,4.82,408.9
979.91,20.75,295.62,3.18,31.31,24.53,7.68,16.85,4.89,408.9
979.91,20.99,295.86,3.57,31.71,24.89,7.89,17.0,5.03,408.8
979.84,21.3,296.18,3.84,31.71,25.37,8.05,17.33,5.12,408.7
979.84,21.2,296.08,3.87,31.97,25.22,8.06,17.16,5.13,408.8
979.79,20.74,295.62,3.62,32.31,24.51,7.92,16.59,5.04,409.1
979.73,20.5,295.38,3.64,32.84,24.15,7.93,16.22,5.05,409.4
979.71,20.62,295.51,3.75,32.85,24.33,7.99,16.34,5.09,409.5
979.72,20.24,295.12,3.91,34.01,23.77,8.08,15.69,5.15,409.2
979.69,19.85,294.73,4.0,35.07,23.2,8.14,15.07,5.18,409.1
979.72,19.68,294.56,4.02,35.5,22.96,8.15,14.81,5.19,409.0
979.68,19.6,294.48,3.87,35.3,22.85,8.06,14.78,5.14,409.5
979.76,19.4,294.28,4.03,36.15,22.56,8.16,14.41,5.19,409.6
979.73,19.24,294.12,4.12,36.72,22.34,8.2,14.14,5.22,409.0
979.78,19.04,293.91,4.15,37.28,22.06,8.23,13.84,5.24,410.1
979.81,18.38,293.25,4.22,39.04,21.17,8.27,12.91,5.26,411.9
979.85,17.84,292.7,4.49,41.17,20.46,8.43,12.04,5.37,413.7
979.91,17.52,292.37,4.59,42.3,20.06,8.48,11.57,5.4,413.7
979.92,17.62,292.47,4.73,42.43,20.18,8.56,11.62,5.45,412.7
980.0,17.46,292.3,4.82,43.15,19.98,8.62,11.36,5.49,413.9
980.03,17.31,292.15,4.84,43.62,19.79,8.63,11.16,5.5,414.1
980.06,17.11,291.95,4.86,44.23,19.54,8.64,10.9,5.5,416.2
980.13,16.3,291.13,4.9,46.71,18.56,8.67,9.89,5.52,420.8
980.1,16.16,290.99,4.88,47.04,18.4,8.65,9.74,5.51,421.0
980.08,15.87,290.7,4.88,47.94,18.06,8.66,9.4,5.51,422.1
980.05,15.85,290.68,4.9,48.06,18.04,8.67,9.37,5.52,423.9
980.15,15.6,290.42,4.98,49.11,17.75,8.72,9.03,5.55,426.4
980.26,15.45,290.26,4.97,49.55,17.58,8.71,8.87,5.55,426.3
980.28,15.62,290.43,4.95,48.94,17.77,8.7,9.07,5.54,424.4
980.28,15.09,289.9,5.07,51.08,17.18,8.77,8.4,5.59,432.9
980.28,14.41,289.21,5.03,53.2,16.44,8.75,7.69,5.57,434.8
980.26,14.41,289.21,4.9,52.71,16.44,8.67,7.77,5.52,430.1
980.28,14.41,289.21,4.77,52.24,16.44,8.59,7.85,5.47,426.7
980.28,14.36,289.16,4.72,52.25,16.39,8.56,7.82,5.45,426.8
980.3,14.04,288.84,4.76,53.47,16.05,8.58,7.47,5.46,429.9
980.3,13.6,288.4,4.68,54.72,15.6,8.53,7.06,5.43,430.8
980.36,13.07,287.86,4.6,56.34,15.07,8.49,6.58,5.4,432.3
980.35,12.8,287.59,4.55,57.13,14.8,8.46,6.35,5.38,433.2
980.29,12.44,287.23,4.46,58.15,14.46,8.41,6.05,5.35,432.9
980.26,11.78,286.57,4.36,60.29,13.84,8.34,5.5,5.31,435.3
980.24,11.52,286.31,4.05,60.04,13.61,8.17,5.44,5.2,433.9
980.17,11.98,286.78,4.27,59.13,14.03,8.29,5.73,5.28,435.2
980.16,11.63,286.43,4.19,60.17,13.7,8.25,5.46,5.25,437.5
980.17,11.25,286.04,4.03,61.01,13.36,8.15,5.21,5.19,443.2
980.19,10.87,285.66,3.94,62.2,13.03,8.1,4.93,5.16,441.9
980.23,10.67,285.46,4.01,63.35,12.86,8.15,4.71,5.18,444.1
980.23,10.69,285.48,3.98,63.11,12.87,8.13,4.75,5.17,441.7
980.18,10.79,285.58,3.96,62.61,12.96,8.11,4.85,5.17,440.9
980.21,10.51,285.3,3.91,63.54,12.72,8.08,4.64,5.15,444.3
980.17,9.97,284.76,3.77,65.25,12.27,8.01,4.26,5.1,449.9
980.13,9.42,284.21,3.53,66.58,11.82,7.87,3.95,5.01,452.7
980.08,9.13,283.92,3.37,67.1,11.59,7.78,3.81,4.95,451.3
980.04,9.07,283.86,3.38,67.44,11.55,7.79,3.76,4.96,447.2
979.97,9.36,284.16,3.4,66.23,11.78,7.8,3.98,4.97,445.8
980.01,8.94,283.73,3.04,66.44,11.45,7.6,3.84,4.84,448.7
980.05,8.44,283.23,3.58,71.4,11.06,7.9,3.16,5.03,458.9
980.09,8.14,282.92,3.66,73.3,10.84,7.95,2.89,5.06,461.7
980.17,8.07,282.85,3.54,73.0,10.79,7.88,2.91,5.01,458.0
980.11,8.06,282.84,3.51,72.9,10.78,7.86,2.92,5.0,458.3
980.03,8.29,283.08,3.3,70.7,10.95,7.74,3.21,4.93,450.4
980.03,8.33,283.12,3.01,69.06,10.98,7.58,3.4,4.83,446.6
980.06,8.06,282.84,2.3,66.89,10.78,7.21,3.57,4.59,442.9
980.11,7.79,282.57,2.61,69.63,10.59,7.37,3.21,4.69,451.0
980.1,7.49,282.27,2.9,72.6,10.37,7.53,2.84,4.79,455.8
980.01,7.52,282.31,3.16,73.8,10.39,7.67,2.72,4.88,454.8
979.92,7.78,282.57,3.2,72.7,10.58,7.69,2.89,4.9,453.5
979.94,7.67,282.46,2.82,71.3,10.5,7.49,3.01,4.77,453.7
979.97,7.01,281.8,2.31,71.9,10.03,7.21,2.82,4.59,458.4
979.96,6.33,281.11,2.18,74.7,9.57,7.15,2.42,4.55,458.9
979.93,6.29,281.07,2.8,78.3,9.55,7.47,2.07,4.76,467.5
979.92,6.42,281.21,2.83,77.7,9.64,7.49,2.15,4.77,460.5
979.91,6.49,281.28,2.78,77.1,9.68,7.46,2.22,4.75,465.9
979.84,6.47,281.26,2.74,77.0,9.67,7.44,2.22,4.74,460.4
979.88,6.55,281.34,2.47,75.1,9.72,7.3,2.42,4.65,457.3
979.82,6.52,281.31,2.38,74.8,9.7,7.25,2.44,4.62,457.6
979.87,6.34,281.13,1.87,73.0,9.58,6.99,2.59,4.45,456.4
979.92,6.62,281.41,2.14,73.0,9.77,7.13,2.64,4.54,458.4
979.99,6.97,281.75,2.69,74.1,10.01,7.41,2.59,4.72,466.7
979.92,7.12,281.91,2.82,74.0,10.11,7.48,2.63,4.76,469.9
979.92,7.7,282.49,2.97,71.9,10.52,7.56,2.96,4.82,468.3
979.91,7.88,282.68,3.0,71.2,10.65,7.58,3.07,4.83,467.4
979.89,8.13,282.93,3.01,70.0,10.83,7.58,3.25,4.83,468.7
979.89,8.46,283.26,3.17,69.23,11.08,7.67,3.41,4.88,472.7
979.88,8.87,283.67,3.32,68.07,11.39,7.75,3.64,4.94,471.4
979.8,9.14,283.95,3.31,66.8,11.6,7.75,3.85,4.93,464.2
979.75,10.0,284.82,3.44,63.6,12.29,7.82,4.47,4.98,463.5
979.74,10.44,285.27,3.5,62.05,12.66,7.86,4.81,5.0,461.2
979.75,10.85,285.68,3.58,60.7,13.01,7.9,5.11,5.03,461.1
979.72,10.82,285.65,3.68,61.26,12.99,7.96,5.03,5.07,461.9
979.69,10.98,285.81,3.97,61.86,13.13,8.12,5.01,5.17,463.9
979.67,11.07,285.9,4.18,62.39,13.2,8.24,4.97,5.25,461.1
979.66,11.22,286.06,4.46,63.04,13.34,8.41,4.93,5.36,459.8
979.58,12.22,287.07,4.62,59.64,14.25,8.5,5.75,5.41,452.3
979.52,13.0,287.86,4.66,56.84,15.0,8.52,6.47,5.43,446.4
979.36,13.75,288.63,4.84,54.81,15.75,8.63,7.12,5.5,444.6
979.3,14.73,289.62,5.12,52.44,16.78,8.8,7.98,5.61,439.9
979.29,15.63,290.52,5.55,50.99,17.78,9.07,8.72,5.78,440.4
979.18,16.29,291.2,5.77,49.65,18.55,9.21,9.34,5.87,433.2
979.11,16.6,291.51,5.86,49.0,18.92,9.27,9.65,5.91,431.8
979.04,17.39,292.32,6.08,47.31,19.89,9.41,10.48,6.0,428.8
978.95,18.2,293.14,6.32,45.72,20.93,9.57,11.36,6.1,428.1
978.92,18.43,293.37,6.39,45.27,21.24,9.61,11.62,6.13,424.7
978.83,18.77,293.72,6.48,44.58,21.69,9.67,12.02,6.17,422.7
978.7,19.18,294.15,6.38,43.18,22.26,9.61,12.65,6.13,419.0
978.57,19.3,294.28,6.32,42.66,22.42,9.57,12.86,6.1,417.0
978.47,19.95,294.94,6.12,40.41,23.35,9.43,13.91,6.02,416.1
978.4,20.2,295.2,5.69,38.63,23.71,9.16,14.55,5.84,412.7
978.32,20.34,295.35,5.29,37.25,23.92,8.91,15.01,5.68,412.1
978.24,20.16,295.17,4.89,36.62,23.65,8.66,14.99,5.53,410.5
978.24,20.18,295.19,3.88,34.06,23.68,8.07,15.62,5.14,408.5
978.15,20.39,295.41,3.88,33.62,23.99,8.07,15.93,5.15,408.2
